hint_countries,segment_raw,frequency,top1_ror_id,top1_display,top1_score,top2_ror_id,top2_display,top2_score,top3_ror_id,top3_display,top3_score
ZA,"Environmental Research Foundation, Westville, 3630, South Africa",13,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05s0g1g46,National Research Foundation,85.7,https://ror.org/02a4gss26,Sasol (South Africa),83.9
SS,"World Health Organization, Juba, South Sudan",13,https://ror.org/0552kp582,Catholic University of South Sudan,60.7,https://ror.org/003x8vn84,The SUDD Institute,53.8,https://ror.org/02f1kft51,University of Juba,50.0
RW,"Partners in Health, Kigali, Rwanda",13,https://ror.org/01x80wa12,OAZIS Health,66.7,https://ror.org/031wbcc95,Digital Umuganda (Rwanda),62.9,https://ror.org/03xk32b06,Oli Health Magazine Organization,61.8
NG,"Technical Services Directorate, MSI Nigeria Reproductive Choices, Abuja, Nigeria",13,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0,https://ror.org/0009gmq77,Nigeria Police Academy,63.6
EG,"Ophthalmology Department, Ministry of Health & Population, Aswan, Egypt",13,https://ror.org/04f90ax67,Ministry of Health and Population,87.9,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/03nh6bz87,Vacsera (Egypt),75.0
UG,"World Health Organization, Kampala, Uganda",13,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/02vvkyr96,World Health Organization - Uganda,87.1,https://ror.org/03v9c4d77,MTN (Uganda),82.4
ET,"Department of Public Health, Arba Minch College of Health Sciences, Arba Minch, Ethiopia",13,https://ror.org/05cfwmz90,REACH ETHIOPIA,88.0,https://ror.org/02qcs8x95,Arbaminch College of Education,80.0,https://ror.org/011smmt78,GeoSAS (Ethiopia),75.0
ET,"International Institute for Primary Health Care-Ethiopia, Addis Ababa, Ethiopia",13,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/048es2e39,International Water Management Institute,73.0
CG,"World Health Organization, Brazzaville, Congo",13,https://ror.org/04rtx9382,World Health Organization Regional Office for Africa,81.1,https://ror.org/05naf8y09,Université Libre du Congo,55.6,https://ror.org/025sdjb25,Centre Hospitalier et Universitaire de Brazzaville,55.3
TZ,"National Malaria Control Programme, Dodoma, Tanzania",13,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/055xdas15,AIM Group (Tanzania),71.4,https://ror.org/0477akv50,National Museum of Tanzania,65.1
RW,"Kigali, Rwanda",13,https://ror.org/017wwgg26,Kigali Independent University,78.3,https://ror.org/031wbcc95,Digital Umuganda (Rwanda),76.2,https://ror.org/05b0t4w03,Association of Microfinance Institutions in Rwanda,72.7
ET,"Sightsavers, Addis Ababa, Ethiopia",13,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/04mraae85,SOS Sahel Ethiopia,71.4
ZA,"University of Western Cape, South Africa",13,https://ror.org/00h2vm590,University of the Western Cape,92.9,https://ror.org/01m74k366,CapeBio (South Africa),91.9,https://ror.org/03ve8wd49,GS1 South Africa,89.7
NG,"Institute of Nursing Research, Osun State, Osogbo, Nigeria",13,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/051wvvb55,Federal Institute of Industrial Research Oshodi,73.4,https://ror.org/03cmxf662,Solina Group (Nigeria),72.7
ET,"UNICEF, Addis Ababa, Ethiopia",13,https://ror.org/05cfwmz90,REACH ETHIOPIA,83.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),80.0,https://ror.org/04mraae85,SOS Sahel Ethiopia,71.4
KE,"Lwala Community Alliance, Rongo, Kenya",13,https://ror.org/00zy1mb15,CABI Kenya,75.0,https://ror.org/0557gff25,Twaweza Communications,66.7,https://ror.org/040zv4433,Il’laramatak Community Concerns,64.4
GH,"Research for Sustainable Development Consult, Sunyani, Ghana",13,https://ror.org/00vxrhz27,Dataking Consulting (Ghana),66.7,https://ror.org/04tvaz881,University of Environment and Sustainable Development,65.2,https://ror.org/01r22mr83,University of Ghana,59.3
GH,"Population Council, Accra, Ghana",13,https://ror.org/01zm5rz38,National Council for Tertiary Education,62.7,https://ror.org/00qgyk751,National Council for Curriculum and Assessment,62.7,https://ror.org/00cn65j92,Bomarts Farms (Ghana),60.0
CG,"Faculté des Sciences et Techniques, Université Marien Ngouabi, Brazzaville, Congo",12,https://ror.org/00tt5kf04,Marien Ngouabi University,68.0,https://ror.org/05naf8y09,Université Libre du Congo,68.0,https://ror.org/025sdjb25,Centre Hospitalier et Universitaire de Brazzaville,62.0
ZA,"Freshwater Research Centre, Cape Town, South Africa",12,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),88.2,https://ror.org/01gqqqf26,Mylan (South Africa),87.5
ZA,"University of Stellenbosch Business School, South Africa",12,https://ror.org/02a4gss26,Sasol (South Africa),90.9,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/01gqqqf26,Mylan (South Africa),87.5
ZA,"Southern African Foundation for the Conservation of Coastal Birds (SANCCOB), Cape Town, South Africa",12,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/05vkc3y92,Omnia (South Africa),88.2,https://ror.org/01gqqqf26,Mylan (South Africa),87.5
MA,"High Institute of Nursing Professions and Technical Health, Agadir, Morocco",12,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/025rbpt60,Eurofilet (Morocco),69.2
UG,"PATH, Kampala, Uganda",12,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
GH,"World Health Organization, Accra, Ghana",12,https://ror.org/00cn65j92,Bomarts Farms (Ghana),61.1,https://ror.org/02zsyv822,Parliament of Ghana,60.0,https://ror.org/044r1dj76,Food and Agriculture Organization of the United Nations,59.5
NG,"FHI 360, Abuja, Nigeria",12,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0,https://ror.org/03cmxf662,Solina Group (Nigeria),62.1
SL,"Masanga Medical Research Unit, Masanga, Sierra Leone",12,https://ror.org/045rztm55,University of Sierra Leone,70.6,https://ror.org/001yeme89,Eastern Technical University of Sierra Leone,64.9,https://ror.org/01sj7p872,St John of God Hospital Sierra Leone,63.0
MA,"International Water Research Institute, Mohammed VI Polytechnic University, Benguerir, Morocco",12,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/00s1ymf55,ACRI-EC (Morocco),76.9,https://ror.org/025rbpt60,Eurofilet (Morocco),75.9
ZA,"Molecular Sciences Institute, School of Chemistry, University of Witwatersrand, Private Bag X3, Johannesburg, 2050, South Africa",12,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/03rp50x72,University of the Witwatersrand,87.1,https://ror.org/02a4gss26,Sasol (South Africa),83.9
CI,"Centre Suisse de Recherches Scientifiques, Abidjan, Cote d'Ivoire",12,https://ror.org/03fcb4d35,Pigier Côte d'Ivoire,76.5,https://ror.org/037y0xy94,Centre National de Recherche Agronomique,67.5,https://ror.org/019374v57,Santé Espoir Vie Côte d'Ivoire,65.2
MA,"International Water Research Institute (IWRI), Mohammed VI Polytechnic University, Ben Guerir, 43150, Morocco",12,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/006sgpv47,Université Ibn Zohr,73.7,https://ror.org/022dg8423,Danone (Morocco),72.7
EG,"Egyptian Propylene and Polypropylene Company (EPPC), Port-Said, Egypt",12,https://ror.org/04zpt4h82,IBM (Egypt),82.4,https://ror.org/04se07z51,Misc (Egypt),77.8,https://ror.org/0504hx432,Egyptian Museum,75.0
MA,"African Sustainable Agriculture Research Institute (ASARI), University Mohammed VI Polytechnic (UM6P), Laayoune, 70000, Morocco",12,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,91.7,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/01ejxf797,Mohamed I University,70.0
BJ,"Laboratory of Applied Ecology, Faculty of Agronomic Sciences, University of Abomey-Calavi, 01 BP 526, Cotonou, Benin",12,https://ror.org/03gzr6j88,Université d'Abomey-Calavi,88.5,https://ror.org/02yh27171,Edexcel University,77.8,https://ror.org/025wndx93,Université de Parakou,61.9
MW,"Invest in Knowledge, Zomba, Malawi",12,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/02x9c2945,Alliance One Tobacco (Malawi),62.2,https://ror.org/04vtx5s55,University of Malawi,58.8
CM,"Yaoundé, Cameroon",12,https://ror.org/01fxrnx65,United Nations Children's Fund Cameroon,85.7,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/02g4e1v18,Metabiota (Cameroon),76.9
GH,"Ghana College of Nurses and Midwives, Accra, Ghana",12,https://ror.org/039nk8734,Ada College of Education,71.4,https://ror.org/0305eqz85,Gbewaa College of Education,71.1,https://ror.org/031jxes94,Ghana College of Physicians and Surgeons,70.6
TN,"Spectrum of Knowledge Production & Skills Development, Sfax, 3027, Tunisia",12,https://ror.org/02tnr6p29,Roche (Tunisia),76.2,https://ror.org/05ya3va27,Sarost (Tunisia),72.7,https://ror.org/03c6tcr26,Graphtech (Tunisia),64.0
EG,"Soil and Water Department, Faculty of Agriculture, University of Kafrelsheikh, Kafr El-Sheikh, 33516, Egypt",12,https://ror.org/035hzws46,Luxor University,87.5,https://ror.org/00ndhrx30,Suez University,86.7,https://ror.org/04zpt4h82,IBM (Egypt),80.0
NG,"Centre for Econometrics & Applied Research, Ibadan, Nigeria",12,https://ror.org/03gn3dp35,Adamore (Nigeria),81.5,https://ror.org/02ypmq936,Caritas Nigeria,74.1,https://ror.org/03zraew37,Centre for Contemporary Art,69.8
MA,"Laboratory of Advanced Materials and Process Engineering, Faculty of Sciences, Ibn Tofail University, Kenitra, Morocco",12,https://ror.org/022dg8423,Danone (Morocco),78.3,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0,https://ror.org/04dkqr510,Assystem (Morocco),72.0
ZA,"Plant Improvement, Agricultural Research Council-Tropical and Subtropical Crops, Private Bag X11208, Nelspruit, 1200, South Africa",12,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/02a4gss26,Sasol (South Africa),83.9,https://ror.org/03wb61205,Sappi (South Africa),83.9
TN,"University of Tunis, Tunis, Tunisia",12,https://ror.org/04d4sd432,University of Sfax,87.5,https://ror.org/022efad20,University of Gabès,84.8,https://ror.org/01kzjzn40,University of Gafsa,84.8
KE,"CIRAD, UPR AIDA, Nairobi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/003ad2905,Farm Africa Kenya,68.8,https://ror.org/02szmkw66,Child Aid Organization Kenya,64.3
KE,"Health Systems and Research Ethics Department, KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,82.4,https://ror.org/042e5sj03,mHealth (Kenya),72.7,https://ror.org/02353ej91,LVCT Health,70.6
NG,"Department of Medical Laboratory Science, Neuropsychiatric Hospital, Aro, Abeokuta, Nigeria",12,https://ror.org/04y52eq55,Federal Neuro Psychiatric Hospital,82.4,https://ror.org/02ypmq936,Caritas Nigeria,80.0,https://ror.org/03sjhzv65,"Federal Neuro-Psychiatric Hospital, Calabar",76.2
TN,"Department of Finance and Accounting, University of Tunis El Manar and IFGT, Tunis, Tunisia",12,https://ror.org/02q1spa57,Tunis University,81.2,https://ror.org/03y2yf271,Time Université,80.0,https://ror.org/02a6s9190,ENSIT,80.0
MA,"Advanced Systems Engineering Laboratory, National School of Applied Sciences, Ibn Tofail University, Kenitra, Morocco",12,https://ror.org/022dg8423,Danone (Morocco),78.3,https://ror.org/00n7n3773,National School of Architecture,77.4,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0
UG,"Bioversity International, Kampala, Uganda",12,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MA,"African Sustainable Agriculture Research Institute (ASARI), Mohammed VI Polytechnic University (UM6P), Laâyoune, Morocco",12,https://ror.org/022dg8423,Danone (Morocco),84.6,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0
SN,"Dakar, Senegal",12,https://ror.org/0177jvw02,WWF Senegal,84.2,https://ror.org/01st86b26,Energy Services in Sahelian Environment (Senegal),76.2,https://ror.org/0204daw86,National Office for Sanitation of Senegal,76.2
CM,"Department of Public Health, Faculty of Medicine and Pharmaceutical Sciences, University of Dschang, Dschang, Cameroon",12,https://ror.org/04cdn6p56,ICT University,85.7,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/0566t4z20,Université de Dschang,85.7
NG,"Central Bank of Nigeria, Nigeria",12,https://ror.org/02ypmq936,Caritas Nigeria,84.6,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/01sn1yx84,University of Nigeria,72.2
MW,"National Statistical Office, Zomba, Malawi",12,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/02x9c2945,Alliance One Tobacco (Malawi),65.3,https://ror.org/02xhybk62,National AIDS Commission,63.4
UG,"Epicentre Mbarara Research Centre, Mbarara, Uganda",12,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
NG,"Department of Public Health, The Intercountry Centre for Oral Health (ICOH) for Africa, Jos, Nigeria",12,https://ror.org/02ypmq936,Caritas Nigeria,75.9,https://ror.org/03gn3dp35,Adamore (Nigeria),72.0,https://ror.org/00mgp8v69,Carter Center,69.2
NG,"West Africa RCC, Africa Centre for Disease Control and Prevention, Abuja, Nigeria",12,https://ror.org/05sjgdh57,Nigeria Centre for Disease Control,88.2,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
KE,"Alliance of Bioversity International and CIAT, Nairobi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/051s40g85,Farm Concern International,73.1,https://ror.org/025ejqq45,BirdLife International,72.7
DZ,"Laboratoire de Gestion et Valorisation des Ressources Naturelles et Assurance Qualité, Faculté SNVST, Université de Bouira, Bouira, 10000, Algeria",12,https://ror.org/00vsxg936,University of Bouira,85.0,https://ror.org/01h4ne021,NEAL (Algeria),80.0,https://ror.org/04nz98c29,Université d'Oran 2,78.9
GH,"Agogo Presbyterian Hospital, Agogo, Ghana",12,https://ror.org/00kytsw15,West End Hospital,70.6,https://ror.org/05kstpb17,Agogo Presbyterian Women's College of Education,67.6,https://ror.org/01vzp6a32,Korle Bu Teaching Hospital,65.4
KE,"Population Council Kenya, Nairobi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/003ad2905,Farm Africa Kenya,68.8,https://ror.org/00cw00f88,Media Council of Kenya,68.2
KE,"MWAPO Health Development Group, Nairobi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/01r6rc776,Geothermal Development Company,70.0,https://ror.org/042ywnb68,Penda Health,66.7
MA,"Laboratory of Aquatic Systems, Marine and Continental Environments (AQUAMAR), Faculty of Sciences, Ibn Zohr University, Agadir, 80000, Morocco",12,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/00s1ymf55,ACRI-EC (Morocco),69.6,https://ror.org/04dkqr510,Assystem (Morocco),66.7
NG,"Women's Health and Action Research Centre, Benin City, Nigeria",12,https://ror.org/02ypmq936,Caritas Nigeria,81.5,https://ror.org/01sn1yx84,University of Nigeria,70.3,https://ror.org/03gn3dp35,Adamore (Nigeria),69.6
ET,"Department of Reproductive and Family Health, Axum College of Health Science, Axum, Ethiopia",12,https://ror.org/05cfwmz90,REACH ETHIOPIA,78.3,https://ror.org/011smmt78,GeoSAS (Ethiopia),75.0,https://ror.org/023tqc074,Yanet Health College,75.0
NG,"Standards Organisation of Nigeria (SON), 52 Lome Crescent, Wuse Zone 7, Abuja, 900287, Nigeria",12,https://ror.org/01sn1yx84,University of Nigeria,71.4,https://ror.org/03gn3dp35,Adamore (Nigeria),69.6,https://ror.org/02ypmq936,Caritas Nigeria,69.6
NG,"World Health Organization, Country Representative Office, Abuja, Nigeria",12,https://ror.org/03v4mhk58,World Health Organization - Nigeria,85.2,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
SL,"FOCUS 1000, Freetown, Sierra Leone",12,https://ror.org/045rztm55,University of Sierra Leone,72.7,https://ror.org/001yeme89,Eastern Technical University of Sierra Leone,63.8,https://ror.org/01xn54007,World Health Organization - Sierra Leone,62.7
KE,"Safe Water and AIDS Project, Kisumu, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,75.0,https://ror.org/042e5sj03,mHealth (Kenya),66.7,https://ror.org/008zzz711,Somalia Water and Land Information,63.2
ZA,"Wits Reproductive Health and HIV Institute, Johannesburg, South Africa",12,https://ror.org/03ve8wd49,GS1 South Africa,93.3,https://ror.org/01q3zpq21,Ibis Reproductive Health,91.7,https://ror.org/02a4gss26,Sasol (South Africa),83.9
ZW,"Training and Research Support Centre, Harare, Zimbabwe",12,https://ror.org/0508qa918,Syngenta (Zimbabwe),74.1,https://ror.org/05e0nrg39,Africare,62.5,https://ror.org/04ze6rb18,University of Zimbabwe,62.5
UG,"Mbale Clinical Research Institute, Mbale, Uganda",12,https://ror.org/023pdrd93,ZOA (Uganda),82.4,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
CI,"Espace Confiance, Abidjan, Cote d'Ivoire",12,https://ror.org/03fcb4d35,Pigier Côte d'Ivoire,76.5,https://ror.org/019374v57,Santé Espoir Vie Côte d'Ivoire,65.2,https://ror.org/05k7qec05,Ministère de l'Education Nationale de Côte d'Ivoire,63.5
MA,"Hassan II University of Casablanca, Morocco",12,https://ror.org/022dg8423,Danone (Morocco),78.3,https://ror.org/01ejxf797,Mohamed I University,75.0,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0
KE,"World Health Organization, Nairobi, Kenya",12,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/02353ej91,LVCT Health,72.7,https://ror.org/02szmkw66,Child Aid Organization Kenya,71.4
TZ,"TILAM International, Dar es Salaam, Tanzania",12,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/055xdas15,AIM Group (Tanzania),75.9,https://ror.org/02p4mb484,Plan International Tanzania,73.5
UG,"African Centre for Suicide Prevention and Research, Mbarara, Uganda",12,https://ror.org/023pdrd93,ZOA (Uganda),88.9,https://ror.org/03v9c4d77,MTN (Uganda),82.4,https://ror.org/030v6tx56,THETA Uganda,80.0
MG,"Centre ValBio, Ranomafana, Madagascar",11,https://ror.org/02ty42a04,École Nationale d'Administration de Madagascar,61.0,https://ror.org/03fkjvy27,Institut Pasteur de Madagascar,60.5,https://ror.org/01erhpg17,Catholic University of Madagascar,60.0
KE,"World Psychiatric Association Collaborating Centre for Research and Training, Nairobi, Kenya",11,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/05c8bms59,Kenya Psychiatry Association​,78.6,https://ror.org/0230rkd28,Wildlife Research and Training Institute,68.4
DZ,"Department of Biology, University Badji Mokhtar Annaba, Annaba, Algeria",11,https://ror.org/01h4ne021,NEAL (Algeria),85.7,https://ror.org/05hen7093,Sonatrach (Algeria),75.9,https://ror.org/05fr5y859,University of Biskra,70.0
EG,"Aswan Heart Centre, Aswan, Egypt",11,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/03nh6bz87,Vacsera (Egypt),75.0,https://ror.org/04se07z51,Misc (Egypt),75.0
ZA,"Unit for Environmental Sciences and Management, North West University, Potchefstroom, South Africa",11,https://ror.org/010f1sq29,North-West University,95.2,https://ror.org/05vkc3y92,Omnia (South Africa),90.9,https://ror.org/02g2syx91,Eskom (South Africa),90.9
MA,"Department of Chemistry and Biochemistry, Faculty of Medicine and Pharmacy, Ibn Zohr University, Laayoune, Morocco",11,https://ror.org/022dg8423,Danone (Morocco),85.7,https://ror.org/00s1ymf55,ACRI-EC (Morocco),75.0,https://ror.org/04dkqr510,Assystem (Morocco),73.3
MA,"Laboratory of Advanced Materials and Process Engineering (LAMPE), Faculty of Science, Ibn Tofail University, BP 133, Kenitra, 14000, Morocco",11,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/01ejxf797,Mohamed I University,70.0,https://ror.org/00s1ymf55,ACRI-EC (Morocco),69.6
NG,"Slum and Rural Health Initiative, Ibadan, Nigeria",11,https://ror.org/03gn3dp35,Adamore (Nigeria),81.5,https://ror.org/02n5zea08,Friends for Global Health Initiative Nigeria,75.3,https://ror.org/02ypmq936,Caritas Nigeria,74.1
RW,"Rinda Ubuzima, Kigali, Rwanda",11,https://ror.org/031wbcc95,Digital Umuganda (Rwanda),62.9,https://ror.org/04y98b529,Pax Press (Rwanda),61.5,https://ror.org/00286hs46,University of Rwanda,57.1
MA,"Africa Business School, Mohammed VI Polytechnic University, Rabat, Morocco",11,https://ror.org/04dkqr510,Assystem (Morocco),76.9,https://ror.org/022dg8423,Danone (Morocco),75.0,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,72.2
CM,"Faculty of Economics and Management, University of Yaounde II, Yaounde, Cameroon",11,https://ror.org/04cdn6p56,ICT University,85.7,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/051sa4h84,University of Maroua,85.0
MW,"Baylor College of Medicine Children’s Foundation Malawi, Lilongwe, Malawi",11,https://ror.org/04t6b4f95,Nalikule College of Education,70.4,https://ror.org/03k6h6357,Museum of Malawi,66.7,https://ror.org/04zvt6r42,Outreach Scout Foundation,64.0
KE,"UNICEF Eastern and Southern Africa Regional Office, Nairobi, Kenya",11,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/025etn077,Network of AIDS Researchers of Eastern and Southern Africa,71.7,https://ror.org/003ad2905,Farm Africa Kenya,70.6
KE,"RTI International, Nairobi, Kenya",11,https://ror.org/00zy1mb15,CABI Kenya,88.9,https://ror.org/025ejqq45,BirdLife International,82.1,https://ror.org/023fkcg80,Africa International University,75.5
CM,"Department of Physics, Higher Teacher Training College, University of Yaounde 1, Yaounde, Cameroon",11,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/051sa4h84,University of Maroua,85.0,https://ror.org/041kdhz15,University of Buea,83.3
NG,"Save the Children International, Abuja, Nigeria",11,https://ror.org/01h8ejk57,National Library of Nigeria,77.6,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0
NG,"School of Business Education, Federal College of Education (Technical), Potiskum, Yobe State, Nigeria",11,https://ror.org/00kb3f655,Federal College of Education (Technical) Bichi,90.9,https://ror.org/027m4m339,Federal College of Education (Technical) Asaba,90.9,https://ror.org/03qhfrv73,"Federal College of Education, Iwo",90.6
MA,"African Genome Center, Mohammed VI Polytechnic University (UM6P), Lot 660, Hay Moulay Rachid, Ben Guerir, 43150, Morocco",11,https://ror.org/03xc55g68,Université Mohammed VI Polytechnique,77.8,https://ror.org/022dg8423,Danone (Morocco),72.7,https://ror.org/00s1ymf55,ACRI-EC (Morocco),69.6
EG,"National Center for Social and Criminological Research, Giza, 11561, Egypt",11,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/04se07z51,Misc (Egypt),75.0,https://ror.org/02n85j827,National Research Centre,73.7
ZA,"Kulima Integrated Development Solutions (Pty) Ltd, Postnet Suite H79, Private Bag x9118, Pietermaritzburg, 3200, South Africa",11,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/02a4gss26,Sasol (South Africa),83.9,https://ror.org/03wb61205,Sappi (South Africa),83.9
KE,"Wildlife Conservation Society, Mombasa, Kenya",11,https://ror.org/00zy1mb15,CABI Kenya,82.4,https://ror.org/042e5sj03,mHealth (Kenya),70.0,https://ror.org/025ejqq45,BirdLife International,69.8
MG,"Natural and Environmental Sciences, Regional University Centre of the SAVA Region (CURSA), Antalaha, Madagascar",11,https://ror.org/03g407536,University of Toliara,66.7,https://ror.org/03vr42a56,University of Toamasina,65.2,https://ror.org/01434tj03,Office National pour l'Environnement,61.0
CM,"Bamenda Regional Hospital, Bamenda, Cameroon",11,https://ror.org/03dj0nw15,WWF Cameroon,85.7,https://ror.org/02g4e1v18,Metabiota (Cameroon),75.0,https://ror.org/00gws9676,Yaoundé General Hospital,70.8
NG,"Mental Health and Wellness Study Group, Ile-Ife, Nigeria",11,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,69.6,https://ror.org/01sn1yx84,University of Nigeria,66.7
ZA,"Stellenbosch Institute for Advanced Study, Stellenbosch, South Africa",11,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/00z7gk255,Lasec (South Africa),88.2,https://ror.org/01dgtbr50,Labotec (South Africa),84.2
GH,"Department of Agricultural and Biosystems Engineering, KNUST, Kumasi, Ghana",11,https://ror.org/02zsyv822,Parliament of Ghana,70.6,https://ror.org/034eg5a26,Government of Ghana,64.7,https://ror.org/00cn65j92,Bomarts Farms (Ghana),62.1
GH,"Department of Governance and Development Management, SD Dombo University of Business and Integrated Development Studies, Wa, Ghana",11,https://ror.org/01rx64j22,Simon Diedong Dombo University of Business and Integrated Development Studies,88.3,https://ror.org/01r22mr83,University of Ghana,78.9,https://ror.org/00br9cf93,University of Mines and Technology,76.5
ZA,"School of Geography, Archaeology and Environmental Studies, University of Witwatersrand, Johannesburg, 2050, South Africa",11,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/03rp50x72,University of the Witwatersrand,87.1,https://ror.org/02a4gss26,Sasol (South Africa),83.9
EG,"Blood Products Quality Control and Research Department, National Organization for Research and Control of Biologicals, Cairo, Egypt",11,https://ror.org/04zpt4h82,IBM (Egypt),80.0,https://ror.org/009yat059,WADI Group (Egypt),76.9,https://ror.org/04se07z51,Misc (Egypt),75.0
NG,"National Population Commission, Abuja, Nigeria",11,https://ror.org/03gn3dp35,Adamore (Nigeria),75.0,https://ror.org/02ypmq936,Caritas Nigeria,75.0,https://ror.org/05kptcy79,National Universities Commission,74.2
TZ,"College of Natural Resources Management & Tourism, Mwalimu Julius K. Nyerere University of Agriculture & Technology, P.O. Box 976, Musoma, Tanzania",11,https://ror.org/001pprn90,WWF Tanzania,85.7,https://ror.org/020wq5714,University of Arusha,85.0,https://ror.org/00jdryp44,Sokoine University of Agriculture,84.8
ZA,"Department of Basic Education, Pretoria, South Africa",11,https://ror.org/05vkc3y92,Omnia (South Africa),91.4,https://ror.org/03ve8wd49,GS1 South Africa,89.7,https://ror.org/02a4gss26,Sasol (South Africa),87.5
MA,"Hassan II Institute of Agronomy and Veterinary Medicine, Rabat, Morocco",11,https://ror.org/04dkqr510,Assystem (Morocco),76.9,https://ror.org/022dg8423,Danone (Morocco),75.0,https://ror.org/00s1ymf55,ACRI-EC (Morocco),72.0
TN,"The Tunisian Center of Early Intervention in Psychosis, Department of Psychiatry “Ibn Omrane”, Razi Hospital, Manouba, 2010, Tunisia",11,https://ror.org/02tnr6p29,Roche (Tunisia),83.3,https://ror.org/05ya3va27,Sarost (Tunisia),72.7,https://ror.org/03c6tcr26,Graphtech (Tunisia),71.4
